x_center,weight,native_sin,native_cos,std_sin,std_cos
-3.140058673,3.067970276e-03,2.384725572e+03,5.757308466e-01,3.426546344e-01,2.371326524e-01
-3.136990711,3.067970276e-03,3.290579135e+02,3.087972415e-01,3.627747447e-01,2.500284990e-01
-3.133922750,3.067970276e-03,1.727703594e+02,6.843745073e-01,2.950535646e-01,2.499527571e-01
-3.130854788,3.067970276e-03,6.490640198e+01,9.635627259e-01,2.671575450e-01,2.499162863e-01
-3.127786826,3.067970276e-03,5.182156436e+01,1.167806223e+00,2.670347618e-01,2.500738827e-01
-3.124718865,3.067970276e-03,3.223447321e+01,9.969791249e-01,2.555025040e-01,2.499637306e-01
-3.121650903,3.067970276e-03,2.669116303e+01,6.777613242e-01,2.541363827e-01,2.500618319e-01
-3.118582942,3.067970276e-03,5.244012875e+01,3.398803741e-01,2.543836643e-01,2.499476124e-01
-3.115514980,3.067970276e-03,3.121064294e+01,2.872075159e-01,2.542520877e-01,2.499881754e-01
-3.112447019,3.067970276e-03,5.889672232e+01,2.764836667e-01,2.541814138e-01,2.499952453e-01
-3.109379057,3.067731857e-03,4.248763163e+01,2.969080641e-01,4.297705121e-01,2.500469894e-01
-3.106311095,3.067970276e-03,2.758987494e+01,2.966823533e-01,4.682954269e-01,2.501013646e-01
-3.103243134,3.067970276e-03,1.606605291e+01,3.474689461e-01,4.682989106e-01,2.499867168e-01
-3.100175172,3.067970276e-03,1.280501116e+01,2.987503097e-01,4.684624377e-01,2.499811981e-01
-3.097107211,3.067970276e-03,1.354944574e+01,2.890669896e-01,4.693768379e-01,2.500163551e-01
-3.094039249,3.067970276e-03,1.363147531e+01,4.165383726e-01,4.693773566e-01,2.500253641e-01
-3.090971288,3.067970276e-03,1.390836317e+01,1.004541191e+00,4.682050199e-01,2.500786164e-01
-3.087903326,3.067970276e-03,1.782854262e+01,1.272022523e+00,4.696425626e-01,2.500050792e-01
